Univ applied,Course,Decesion,cgpa,Ug Univ,GRE Total,GRE Quant,Gre verbal,Toefl,Ielts,Work ep,Paper published
Syracuse University,CS,Admit,76.20%,RTU,319,164,155,103,,none,none
IITC,CS,Admit,76.20%,RTU,319,164,155,103,,none,none
George mason,Telecom,Reject,6.47/10,MU,304,159,145,91,,1m,0
UTD,CS,Admit,71,PU,310,160,150,99,,2Y6M,None
OHIO STATE UNIVERSITY,Mechanical,Admit,9.38,Nirma University,323,170,153,117,,2,0
Santa Clara University,SE,Admit,7.9/10,PU,317,163,154,101,,7 months,NA
UTD,EE,Admit,8.16,Anna univ,312,163,149,105,,0,0
Stevens Institute of Technology,Engineering Management,Admit,2.62/4,NMIMS,308,161,147,92,,7M,N/A
MIT,CS,Admit,9.9,IIT Bombay,338,170,168,119,,0,3
Arizona,Mech,Admit,9,NIT,318,168,150,103,,0,0
RIT,ME,Admit,8.13,PU,314,167,147,96,,0,0
Santa Clara University,CSE,Admit,3.8/4.0,MU,307,162,145,105,,0,0
TAMU college station,EE,Reject,7.87,Manipal Institute of Technology,310,160,150,100,,2Y,0
UT Arlington,Industrial,Admit,7.67,Anna University,324,167,157,115,,0,No
NCSU,Industrial,Reject,7.67,Anna university,324,167,157,115,,0,No
Ohio State University,Mechanical Engineering,Admit,9.3/10,"College of Engineering Guindy, Anna University",328,168,160,113,,0,None
Northern Illinois University,Mechanical,Reject,78,Jntu Hyderabad,294,154,140,87,,3m,1
University of Texas - Austin,CE,Reject,8.23/10,Manipal university,325,168,157,111,,1Y 1M,None
Syracuse,ME,Admit,3.2/4.0,University of Alabama,309,169,140,,,None,None
Ohio State University,ME,Admit,9.33,IIT-H,329,170,159,110,,0,-
IIT chicago,Cs,Admit,73%,Graphic era,305,163,142,91,,2Y 3M,No
TU DELFT,ME,Admit,9.2/10,KIIT,320,162,158,111,,0,1
michigan technological university,ds,Admit,7.33,nit,313,159,154,,,1y5m,no
SUNY Buffalo,Mechanical Engineering,Admit,81.70%,CBIT (Osmania University),318,168,150,,7 (7:8:7:6.5),Nil,0
"IIT, Chicago",Materials Science,Admit,8.29,"NIT, Trichy",316,170,146,95,,0,0
UNCC,Cs,Admit,76.20%,RTU,319,164,155,103,,na,na
Syracuse University,MSIM,Admit,69.17%,AKTU(Former Uttar Pradesh Technical University),321,165,156,100,,6M,None
Ncsu,CS,Reject,7,Anna University,303,158,145,89,,0,2
Ohio State University,Mechanical,Reject,8.52(dipl) 8.35/10 (deg),MU,315,161,154,112,,2 x 6 month Internships,1 in tpp
North Carolina State University,Industrial Engineering,Admit,8.38/10,Sardar Patel College Of Engineering,330,170,160,116,,0,0
IIT CHICAGO,Data management and analytics - ITM,Admit,3.0/4.0,AHMEDABAD UNIVERSITY,313,162,151,103,,6m,2
UMass Lowell,CS,,7.8/10,RTM NAGPUR UNI,310,164,146,85,,0,1
UTD,CS,Reject,7.8,OU,316,169,147,94,,0,0
Arizona State University,ME,Reject,6.45/10,MU,316,163,153,108,,0,0
"University Of Texas, Arlington",ME,Admit,6.45/10,MU,316,163,153,108,,0,0
Syracus University,CS,Admit,66%,PU,306,163,143,90,,2Y,No
University of Pennsylvania,ME,Admit,8.51,NIT surat,324,170,154,102,,0,None
Arizona State University,Industrial Engineering,Admit,8.11(1 BL Cleared),R.V.R & J.C College of Engineering,309,167,142,,7(7.5:7:6:6.5),0,0
University of Southern California,CS,Admit,8.5,SRM,319,163,156,103,,0,1
UTD,CS,Admit,8.5,SRM,319,163,156,103,,0,1
Michigan Technological University,Mechanical,Admit,77%,Pune University,317,165,152,95,,10M,No
UPenn,CS,Admit,79%,DTU,323,166,157,116,,1Y 6M,1
Michigan Technological University,Mech,Reject,7.49,Anna University,318,158,160,110,,0,0
Cleveland State University,EE,Admit,70%,University of Pune,301,156,145,88,,1M,None
"SUNY,Binghamton",ECE,Admit,70%,University of Pune,301,156,145,88,,1M,None
ASU,Chemical,Admit,10-Aug,MU,310,162,148,,,2 Months,No
NCSU,IE,Admit,8.43/10,VIT University Vellore,313,165,148,107,,0,0
Suny Buffalo,IE,Admit,8.31,LDRP-ITR,311,163,148,99,,3M,0
Carnegie Mellon university,CE,Admit,8.23/10,Manipal university,325,167,158,111,,1 Y 1 M,0
Mich tech,Mechanical,Reject,2.76 /4,Mu,307,159,148,89,,5 years,No
Missouri Science Tech,MECHANICAL ENGINEERING,Admit,72,UNIV OF PUNE,305,162,143,,6.5,2Y 6M,1 PAPER
University of Southern California,Civil Engineering (Construction),Admit,65%,PU,323,166,157,106,,3M,No
Stevens Institute of Technology,CE,Admit,64.40%,PU,305,161,144,90,,1Y 5M,Two research paper published
UIC,Civil Environmental,Reject,7.63/10,Osmania University,309,167,142,88,,0,0
University of South Florida,IE,Reject,66%,PU,299,159,140,,7,NA,NA
"University of Texas, Dallas",EE,Admit,72%,VTU,315,165,150,101,,0,-
"IIT, Chicago",EE,Admit,72%,VTU,315,165,150,101,,-,-
"IIT, Chicago",EE,Admit,72%,VTU,315,165,150,101,,-,-
University of Pennsylvania,CSE,Reject,3.65,PU,326,170,156,108,,0,1
Wayne State,ME,Reject,63,PU,307,159,148,,7(6:7.5:7:6.5),6 months,0
Portland State University,ECE,Admit,86.74%,JNTU K,320,165,155,99,,0,0
UTD,CE,Reject,8.3/10,JIIT,315,162,153,110,,0,0
RIT,CS,Admit,8.33,SIT,307,161,146,104,,2,no
"IIT, Chicago",CE,Admit,8.55/10,"VIT, Vellore",318,165,153,104,,1y 2M,Yes
Kansas State University,IE,Admit,66%,PU,299,159,140,,7.0(6.0 : 8.0 : 7.5 : 6.5),0,-
Ohio State University,IE,Admit,9.2,PESIT,320,165,155,104,,0,0
Ohio State University,IE,Admit,9.2,PESIT,320,165,155,104,,0,0
UTD,CS,Admit,80.2,UPES,319,164,155,107,,1Y 7 M,0
Columbia University,Mathematical Finance,Admit,60.98%,"NSIT, DU",333,170,163,114,,1Y,NONE
IUPUI,ME,Admit,74,PU,305,162,143,,6.5,2Y 5M,1 international Paper
"University of Texas, Dallas",CS,Admit,9.14/10,"Dharmsinh Desai University, Nadiad",329,170,159,111,,0,0
Stevens Institute of Technology,Engineering Management,Admit,2.69,NMIMS,308,161,147,98,,7M,N/A
UTD,Telecom,Admit,8.9,VTU,308,159,149,108,,0,0
Stevens institute of technology,MIS,Admit,6.55/10,MU,301,159,142,88,0,3M intern,0
Carnegie Mellon University,MSIT ebusiness,Admit,7.6,ISM Dhanbad,325,170,155,110,,2Y 7M,0
University of Pennsylvania,CIS,Admit,76.80%,VTU,321,165,156,114,,0,0
University of Central Missouri,CS,Admit,3.2,RGPV,298,150,148,91,,0,1
Michigan Tech,ME,Admit,8.1/10,VJTI,327,166,161,104,,6M,None
Carnegie Mellon University,CS,Admit,9.45,Thapar University,330,168,162,109,,"5 months(2 research internships: 1 at IIT Roorkee, 1 at IIT Ropar)",2
Ohio State University,ME,Admit,9.25/10,NIT Surat,320,170,150,103,-,-,2
Stevens Institute of Technology,Construction Engineering and Management,Admit,6.79/10,Gandhinagar Institute of Technology,304,157,147,84,,None,None
UIC,MIS,Admit,69.17%,UPTU,321,165,156,100,,7M,None
University Of Cincinnati,MIS,Reject,69.17%,UPTU,321,165,156,100,,7M,None
IIT chicago,Construction engineering,Reject,57%,PU,312,161,151,100,,6 months,No
University of Maryland college park,MIM,Admit,62%/100,Mumbai university,318,162,156,106,,1.5y,1
UMPC,MIM,Admit,72.31%,Mumbai University,315,153,162,107,,3Y 2M,None
University of North Carolina at Charlotte,Mechanical,Admit,8.67,"Chaitanya Bharathi Institute of Technology, Telangana",300,156,144,,7(7:7:6.5:6.5),0,2 papers
"University of North Texas, Denton",Mechanical and Energy Engineering,Admit,8.67,"Chaitanya Bharathi Institute of Technology , Telangana",300,156,144,,7 (7:7.5:6.5:6.5),0,2
University of Illinois at Urbana-Champaign,Mechanical Engineering,Admit,9.3/10,"College of Engineering Guindy, Anna University",328,168,160,113,,0,0
"University of Texas, Arlington",Mechanical Engineering,Admit,8.67/10,"Chaitanya Bharathi Institute of Technology , Telangana",300,156,144,,7,0,0
"University of Texas, Dallas",MIS(ITM),Admit,60%,Mumbai University,318,162,156,105,,3Y,No
"University of South Florida , Tampa",Industrial Engineering,Reject,8.67,"Chaitanya Bharathi Institute of Technolgy,Telangana",300,156,144,,7,0,0
Northern Illinois University,MIS,Admit,60%,Mumbai University,318,162,156,105,,3Y,No
"Jhonson and Wales University, Providence, RI",CS ( Information Security and Assurance),Admit,7.07/10,MU,300,150,150,97,,6M,1 National 1 International
"TROY University,Alabama",CS ( Computer Networks and Security),Admit,7.07/10,MU,300,150,150,97,,6M,1 National 1 International
San Diego State University,MIS,Admit,60%,Mumbai University,318,162,156,105,,3Y,No
University of South Florida,MIS(BAIS),Admit,60%,Mumbai University,318,162,156,105,,3Y,No
SUNY Buffalo,Biomedical Engineering,Admit,8.28,WBUT,306,155,151,109,,0,2
UTD,Supply chain management,Admit,7.72,Chitkara university,305,154,151,102,,6M,No
,,,,,,,,,,,
USF,Biomedical Engineering,Admit,8.28,WBUT,306,155,151,109,,0,2
Drexel University,Biomedical Engineering,Admit,8.28,WBUT,306,155,151,109,,0,2
UTD,CS,Admit,7.55,IIT Ropar,325,167,155,101,,1Y 8M,0
University of Maryland College Park,CS,Admit,9.28,IIT KGP,332,170,162,114,,1Y 7M,One
University of Pennsylvania,EE,Admit,9.01,NIT Trichy,315,167,148,107,,0,0
Michigan State University,Construction Management,Admit,7.24,Indus University,309,160,149,96,,None,None
NEU,Engineering Management,Admit,7.24,Indus University,309,160,148,96,,None,None
Clemson university,Construction Science Management,Reject,7.24,Indus University,309,160,149,96,,None,None
Ohio State University,Mechanical,Admit,8.26,NIT Trichy,320,167,153,104,,1Y 3M,NA
UMD College Park,Information Systems,Admit,68.4,RGPV,320,162,158,113,,0,0
NCSU,EPSE,Admit,7.87,"MIT, Manipal",310,160,150,100,,1.5,0
Arizona State University,MIS,Admit,7.27,MU,315,166,149,98,,1,1
Illinois institute of technology,Mis,Admit,73%,MU,290,153,137,84,,2,2
"University of Washington, Seattle",CE,Admit,72%,PU,315,161,154,98,,9M,International
RIT,CS,Admit,7.034,SPSU,317,164,153,107,,1Y 9 M,0
University of Arizona,ECE,Admit,8.85/10,Manipal Institute of Technology,317,162,155,112,,0,1 International IEEE paper
Georgia Tech,ECE,Admit,8.85/10,Manipal Institute of Technology,317,162,155,112,,0,1 International IEEE paper
Wichita State University,Mechanical,Admit,78%,Jntu Hyderabad,294,154,140,87,,3 months,4
UMKC,CS,Admit,8.67/10,VIT University,308,167,141,,6.5(7.5:6.5:6:5.5),2Y 5M,no
ASU,ME,Reject,65.53%,Shivaji Univ,314,164,150,,93,4M,1
UTD,CS,Reject,8..67/10,VIT University,308,167,141,,6.5(7.5:6.5:6:5.5),2Y 5M,No
UNCC,CS,Reject,8.67/10,VIT University,308,167,141,,6.5(7.5:6.5:6:5.5),2Y 5M,no
University of North Carolina-Charlotte,Mechancial,Admit,64,PU,303,156,147,103,,0,0
Michigan Tech Uni,Mech,Admit,63%,Pune University,326,170,156,108,,-,-
San Jose state university,SE,Admit,10-Jul,Mumbai University,316,163,153,108,,1 y,2 international
Colorado State University,CS,Admit,3.12,Ahmedabad University,315,170,145,108,,1 Month (irrelevant),None
University Of Rochester,Chemical engineering,Admit,72.50%,Pune University,308,163,145,100,,0,0
University of South Florida,MIS(BAIS),Admit,8.00/10,VIT University,307,153,154,107,,1Y 7M,1 international paper on Software Reliability in TIJCSA
Georgia State,MIS,Admit,55%,MU,317,161,156,113,,1y7M,2
Arizona State University,MISM,Admit,8,VIT University,307,153,154,107,,1Y 7M,1 international paper publication in TIJCSA
IITC,EE,Reject,6,SRM,303,154,149,87,,0,0
IUPUI,EE,Reject,6,SRM,303,154,149,87,,0,0
SIUC,EE,Admit,6,SRM,303,154,149,87,,0,0
GSU,Mis,Admit,69.03/100,MU,311,161,150,109,,2Y6M,No
UTD,ME,Admit,7.8/10.0,NIT Durgapur,315,165,150,107,,0,0
Michigan Tech University,ME,Admit,7.8/10,NIT Durgapur,315,165,150,107,,0,0
Rutgers University,IE,Admit,8.31,LDRP-ITR,311,163,148,99,,3M,0
NJIT,CS,Admit,2.6,PU,302,160,142,96,,0 years,Nothing
CSU EB,CS,Reject,6.7,PU,302,160,142,90,,0 yrs,Nothing
Rutgers,IE,Admit,70.80%,PU,312,162,150,108,,1Y 8M,-
TAMU College Station,ME,Admit,8.62,NIT Rourkela,317,164,154,112,,0,1
Rensselaer Polytech,ME,Admit,8.62,NIT Rourkela,318,164,154,112,,None,1
George Mason University,CE,Admit,75.26%,JNTU Kakinada,321,168,153,106,,0,0
UTD,cs,Admit,3.41/4.0,VNR VJIET,313,165,148,91,,no work experience,no papers
george washington university,data science,Admit,3.41/4.0,VNR VJIET,313,165,148,91,,NO,NO
Western Michigan University,Industrial Engineering,Admit,58%,Shivaji University Kolhapur,296,156,140,,6.5,1 Y 6M,1 International
Illinois Institute of Technology,Industrial Engineering,Admit,58%,Shivaji Uni Kolhapur,296,156,140,,6.5,1Y 6M,1 International
Wichita State University,Industrial Engineering,Admit,58%,Shivaji Uni Kolhapur,296,156,140,,6.5,1Y 6M,1 International
UTD,MECH,Reject,7.74/10,MU,309,162,147,91,,1M,0
UNCC,Mech,Admit,7.74/10,MU,309,162,147,91,,1M,0
UNCC,CS,Reject,70%,VTU,300,156,144,93,,--,--
Portland State University,EE,Admit,8.84/10,MU,314,163,151,99,,0,1
Gatech,ECE,Reject,86.74,JNTU K,320,165,155,99,,0,0
NCSU,EE,Admit,86.74,JNTU K,320,165,155,99,,0,0
"University of California, Irvine",CS,Admit,9.42/10,IIT-ISM,329,170,156,97,,0,0
Northern illinois university,CS,Admit,6.8/10,GITAM,303,154,149,97,,-,-
CMU,MSCV,Admit,8.47,IIIT-H,322,170,152,108,,0,1 (International; 2nd author)
UTD,CS,Admit,9.15/10,ANNA UNIVERSITY,312,161,151,105,,7M,2 IEEE papers
UTD,CS,Reject,7.64,Amrita Viswa Vidyapeetham,308,164,144,89,,0,2
"University of Colorado,Boulder",Ce,Admit,7.9/10,VJTI,322,166,156,107,,2Y 7M,1
Brown University,CS,Admit,9.01 / 10,IIIT-Allahabad,331,168,163,118,NA,0,0
University of Chicago (uChicago),CS,Admit,9.01 / 10,IIIT-Allahabad,331,168,163,118,NA,0,0
Ohio State University,Mechanical Engineering,Admit,9.07/10,Vellore Institute of Technology,313,164,149,110,,1Y at the time of joining,One under review
test,test,Admit,0,test,0,0,0,0,0,0,0
Rutgers,Mathematical Finance,Admit,60.98%,"NSIT, University of Delhi",333,170,163,114,,1Y,-
Western Michigan university,Industrial Engineering,Admit,56%,PI,306,158,148,90,,1year 2months at Flex pvt.ltd ; G.E internship- 3months +2 projects; 6 months internship at production Industry,No
Arizona State University,CS,Reject,7.77,Anna University,311,167,144,113,,0,0
University of North Carolina at Charlotte,CS,Admit,7.77,Anna University,311,167,144,113,,0,0
University of San Francisco,Analytics,Admit,7.46/10,Osmania University,318,170,148,107,,1y 6m,No papers
NEU,CS,Reject,8.22,DDIT,311,162,149,91,,0,0
iit chichago,ITM,Admit,7.94,bput,298,156,142,95,,3y,na
umbc,IS,Admit,7.94,bput,298,156,142,95,,3y,na
njit,is,Admit,7.94,bput,298,156,142,95,,3y,na
Northeastern University,CS MS,Admit,7.72,Nagpur University,316,167,149,109,,0,1
UTD,CS,Admit,8.29/10,JNTUH,319,167,152,94,,No,No
UNCC,CS,Reject,8.29/10,JNTUH,319,167,152,94,,No,No
Syarcuse University,MIS,Admit,7.08/10,BITS Pilani,316,164,152,99,,1,no
Georgia State University,MIS (Big data analytics),Admit,7.08/10,BITS Pilani,316,164,152,99,,1,No
University of Cincinnati,MIS,Reject,7.08/10,BITS Pilani,316,164,152,99,,1,No
Carnegie mellon university,Information systems Management,Admit,"3.43/4 , 3.8/4",UPTU,310,162,138,98,,3Y 5M,NA
Arizona State University,Business Analytics,Admit,"3.42/4, 3.8/4",UPTU,310,162,148,98,,3Y 5M,NA
Northeastern University,CS,Admit,3.12/4.0,Ahmedabad University,315,170,145,108,,None,None
NEU,CS,Admit,8.6/10,West Bengal University of Technology,326,165,161,118,,3yrs 6months,No
UNCC,CS,Admit,74.42%,OU,311,165,146,95,,0,0
Pennsylvania State University,Information Science and Technology,Admit,76.54/100,Delhi Technological University,325,167,158,108,,1Y 8M,1
Arizona State University,Material Science,Admit,61,University Of Pune,314,159,155,99,,0,0
North Carolina State University,ECE,Admit,8.80/10,NIT Silchar,326,163,163,113,,2Y,3
Arizona State University,ME,Admit,8.4,Amrita,320,167,153,105,,0,1
UIC,CE,Admit,73%,VTU,308,163,145,100,,0,1 IEEE
North Carolina State University,EE,Admit,8.51,IIT,326,167,159,111,,3y 8m,2 Patents filed
UTD,CS,Admit,9.54,SRM,311,166,145,93,,1Y 7M,NO
Portland State University,EE,Admit,64,NRI,302,159,143,87,,2Y6M,NA
New York institute of technology,Mba,Admit,55%,Geethanjali College of engineering and technology,300,155,145,,7(8:8:6:6),0,None
USC,MS CS,Admit,9.8/10,BITS,334,170,164,117,,0,0
Northeastern University Boston,CS,Admit,7.2/10,Nagpur University,318,163,155,101,,3m,"Yes, 1 international publication"
